alpha,beta,gamma,tau,scf_cs
4,0.2,8,0.2,0.873161629
13,0.2,8,0.2,1.004716965
22,0.2,8,0.2,1.005091875
31,0.2,8,0.2,1.005105729
40,0.2,8,0.2,1.005166257
4,0.3,8,0.2,1.201069794
13,0.3,8,0.2,1.576451678
22,0.3,8,0.2,1.577308673
31,0.3,8,0.2,1.577315858
40,0.3,8,0.2,1.577298869
4,0.4,8,0.2,1.236455246
13,0.4,8,0.2,1.755260001
22,0.4,8,0.2,1.756325342
31,0.4,8,0.2,1.756341651
40,0.4,8,0.2,1.756291906
4,0.5,8,0.2,1.085631262
13,0.5,8,0.2,1.671298251
22,0.5,8,0.2,1.673235695
31,0.5,8,0.2,1.673566975
40,0.5,8,0.2,1.673553905
4,0.6,8,0.2,1.522030761
13,0.6,8,0.2,1.736902339
22,0.6,8,0.2,1.741063005
31,0.6,8,0.2,1.741142923
40,0.6,8,0.2,1.741144511
4,0.7,8,0.2,1.250435278
13,0.7,8,0.2,1.665982305
22,0.7,8,0.2,1.671151984
31,0.7,8,0.2,1.672108485
40,0.7,8,0.2,1.672119865
4,0.2,20,0.2,2.075300757
13,0.2,20,0.2,3.018292448
22,0.2,20,0.2,3.083754276
31,0.2,20,0.2,3.085880756
40,0.2,20,0.2,3.086065605
4,0.3,20,0.2,1.873563026
13,0.3,20,0.2,3.575878729
22,0.3,20,0.2,3.68092546
31,0.3,20,0.2,3.684152114
40,0.3,20,0.2,3.684591911
4,0.4,20,0.2,4.865063533
13,0.4,20,0.2,4.000654595
22,0.4,20,0.2,4.145125775
31,0.4,20,0.2,4.149288443
40,0.4,20,0.2,4.149870872
4,0.5,20,0.2,4.046424793
13,0.5,20,0.2,4.234645575
22,0.5,20,0.2,4.39870656
31,0.5,20,0.2,4.405224402
40,0.5,20,0.2,4.405891812
4,0.6,20,0.2,1.599341985
13,0.6,20,0.2,4.188809804
22,0.6,20,0.2,4.386156218
31,0.6,20,0.2,4.400592712
40,0.6,20,0.2,4.401896345
4,0.7,20,0.2,1.697592663
13,0.7,20,0.2,3.833272289
22,0.7,20,0.2,4.173293829
31,0.7,20,0.2,4.184976259
40,0.7,20,0.2,4.191507011
4,0.2,32,0.2,2.964181999
13,0.2,32,0.2,4.384341025
22,0.2,32,0.2,4.777557485
31,0.2,32,0.2,4.784315403
40,0.2,32,0.2,4.787281376
4,0.3,32,0.2,2.495081222
13,0.3,32,0.2,5.276142838
22,0.3,32,0.2,5.927151617
31,0.3,32,0.2,5.938081059
40,0.3,32,0.2,5.943024755
4,0.4,32,0.2,7.792909692
13,0.4,32,0.2,5.875283328
22,0.4,32,0.2,6.753405196
31,0.4,32,0.2,6.768775799
40,0.4,32,0.2,6.77532053
4,0.5,32,0.2,6.479247118
13,0.5,32,0.2,6.311717596
22,0.5,32,0.2,7.360146067
31,0.5,32,0.2,7.389889159
40,0.5,32,0.2,7.397856266
4,0.6,32,0.2,2.264822103
13,0.6,32,0.2,6.174412523
22,0.6,32,0.2,7.453726879
31,0.6,32,0.2,7.481129232
40,0.6,32,0.2,7.497120687
4,0.7,32,0.2,2.551873623
13,0.7,32,0.2,5.328617625
22,0.7,32,0.2,6.896368645
31,0.7,32,0.2,6.896368645
40,0.7,32,0.2,6.896368645
4,0.2,8,0.4,2.111862893
13,0.2,8,0.4,2.653454865
22,0.2,8,0.4,2.654778926
31,0.2,8,0.4,2.654733048
40,0.2,8,0.4,2.654917664
4,0.3,8,0.4,2.591632044
13,0.3,8,0.4,3.444951719
22,0.3,8,0.4,3.446809776
31,0.3,8,0.4,3.446926249
40,0.3,8,0.4,3.447080292
4,0.4,8,0.4,2.57005682
13,0.4,8,0.4,3.653502884
22,0.4,8,0.4,3.655702539
31,0.4,8,0.4,3.655877383
40,0.4,8,0.4,3.655796109
4,0.5,8,0.4,2.445470569
13,0.5,8,0.4,3.783367402
22,0.5,8,0.4,3.805776517
31,0.5,8,0.4,3.78087911
40,0.5,8,0.4,3.792975277
4,0.6,8,0.4,2.256912494
13,0.6,8,0.4,3.680040646
22,0.6,8,0.4,3.683301224
31,0.6,8,0.4,3.683384415
40,0.6,8,0.4,3.683419575
4,0.7,8,0.4,2.295309703
13,0.7,8,0.4,3.824423971
22,0.7,8,0.4,3.832061554
31,0.7,8,0.4,3.832088101
40,0.7,8,0.4,3.83208174
4,0.2,20,0.4,4.517130402
13,0.2,20,0.4,6.673416716
22,0.2,20,0.4,6.825924759
31,0.2,20,0.4,6.830928763
40,0.2,20,0.4,6.831377578
4,0.3,20,0.4,4.636814103
13,0.3,20,0.4,8.369222423
22,0.3,20,0.4,8.620633482
31,0.3,20,0.4,8.628236823
40,0.3,20,0.4,8.629176347
4,0.4,20,0.4,4.185147027
13,0.4,20,0.4,9.620582649
22,0.4,20,0.4,9.954105965
31,0.4,20,0.4,9.964021116
40,0.4,20,0.4,9.965402347
4,0.5,20,0.4,3.761176133
13,0.5,20,0.4,10.44417359
22,0.5,20,0.4,10.83044306
31,0.5,20,0.4,10.84156105
40,0.5,20,0.4,10.84311033
4,0.6,20,0.4,10.31647573
13,0.6,20,0.4,16.04204329
22,0.6,20,0.4,16.05951964
31,0.6,20,0.4,16.06082111
40,0.6,20,0.4,16.0607802
4,0.7,20,0.4,7.378633137
13,0.7,20,0.4,13.93372858
22,0.7,20,0.4,13.96556798
31,0.7,20,0.4,13.97429965
40,0.7,20,0.4,10.73167035
4,0.2,32,0.4,6.948288773
13,0.2,32,0.4,10.06421293
22,0.2,32,0.4,10.98762735
31,0.2,32,0.4,21.00545962
40,0.2,32,0.4,11.01011825
4,0.3,32,0.4,6.655036003
13,0.3,32,0.4,12.35543017
22,0.3,32,0.4,13.8908768
31,0.3,32,0.4,13.91646394
40,0.3,32,0.4,13.92805764
4,0.4,32,0.4,24.48197949
13,0.4,32,0.4,13.91361678
22,0.4,32,0.4,30.59941087
31,0.4,32,0.4,16.01307484
40,0.4,32,0.4,16.0551801
4,0.5,32,0.4,4.848036573
13,0.5,32,0.4,14.90664168
22,0.5,32,0.4,17.26916825
31,0.5,32,0.4,17.30850846
40,0.5,32,0.4,17.338105
4,0.6,32,0.4,16.66158229
13,0.6,32,0.4,15.53672284
22,0.6,32,0.4,17.93011313
31,0.6,32,0.4,17.97852708
40,0.6,32,0.4,17.99712163
4,0.7,32,0.4,5.060421441
13,0.7,32,0.4,15.5451096
22,0.7,32,0.4,17.74302442
31,0.7,32,0.4,17.79169653
40,0.7,32,0.4,17.80984395
4,0.2,8,0.6,2.9808538
13,0.2,8,0.6,3.799612448
22,0.2,8,0.6,3.801863567
31,0.2,8,0.6,3.801570828
40,0.2,8,0.6,3.801990167
4,0.3,8,0.6,3.785542359
13,0.3,8,0.6,5.09376655
22,0.3,8,0.6,5.096869533
31,0.3,8,0.6,5.097429905
40,0.3,8,0.6,5.097366394
4,0.4,8,0.6,3.804920398
13,0.4,8,0.6,5.521945754
22,0.4,8,0.6,5.525499965
31,0.4,8,0.6,5.525183772
40,0.4,8,0.6,5.525350744
4,0.5,8,0.6,3.848156684
13,0.5,8,0.6,5.864122495
22,0.5,8,0.6,5.868774898
31,0.5,8,0.6,5.868677145
40,0.5,8,0.6,5.868243852
4,0.6,8,0.6,3.773213205
13,0.6,8,0.6,5.964320484
22,0.6,8,0.6,5.968559837
31,0.6,8,0.6,5.968827124
40,0.6,8,0.6,5.96888045
4,0.7,8,0.6,3.848359789
13,0.7,8,0.6,6.193830992
22,0.7,8,0.6,6.199731782
31,0.7,8,0.6,6.199482032
40,0.7,8,0.6,6.200668054
4,0.2,20,0.6,6.961324719
13,0.2,20,0.6,10.38691329
22,0.2,20,0.6,10.63152104
31,0.2,20,0.6,10.63926809
40,0.2,20,0.6,7.223733007
4,0.3,20,0.6,7.35699506
13,0.3,20,0.6,13.19070365
22,0.3,20,0.6,13.59254245
31,0.3,20,0.6,13.60439813
40,0.3,20,0.6,13.60599002
4,0.4,20,0.6,6.960527779
13,0.4,20,0.6,15.28027274
22,0.4,20,0.6,15.80982372
31,0.4,20,0.6,15.82578923
40,0.4,20,0.6,15.8278123
4,0.5,20,0.6,6.319441517
13,0.5,20,0.6,16.70570336
22,0.5,20,0.6,17.30470439
31,0.5,20,0.6,17.32241644
40,0.5,20,0.6,17.32475277
4,0.6,20,0.6,20.39201865
13,0.6,20,0.6,17.43130916
22,0.6,20,0.6,18.02033251
31,0.6,20,0.6,18.0370392
40,0.6,20,0.6,18.03929078
4,0.7,20,0.6,16.24270397
13,0.7,20,0.6,17.21941802
22,0.7,20,0.6,17.701412
31,0.7,20,0.6,17.71649294
40,0.7,20,0.6,17.71853605
4,0.2,32,0.6,10.99412295
13,0.2,32,0.6,15.96655233
22,0.2,32,0.6,17.4477965
31,0.2,32,0.6,17.47312389
40,0.2,32,0.6,17.48407143
4,0.3,32,0.6,10.96361914
13,0.3,32,0.6,19.60302432
22,0.3,32,0.6,22.04974896
31,0.3,32,0.6,22.090457
40,0.3,32,0.6,22.10895457
4,0.4,32,0.6,9.605503997
13,0.4,32,0.6,22.21613092
22,0.4,32,0.6,25.49392302
31,0.4,32,0.6,25.54782309
40,0.4,32,0.6,25.57210091
4,0.5,32,0.6,8.161912477
13,0.5,32,0.6,23.91525477
22,0.5,32,0.6,27.67051432
31,0.5,32,0.6,27.73103244
40,0.5,32,0.6,27.75813795
4,0.6,32,0.6,34.53974561
13,0.6,32,0.6,25.24544353
22,0.6,32,0.6,29.00410639
31,0.6,32,0.6,29.06472604
40,0.6,32,0.6,29.0908468
4,0.7,32,0.6,27.10958765
13,0.7,32,0.6,25.80228167
22,0.7,32,0.6,29.0115326
31,0.7,32,0.6,29.07104796
40,0.7,32,0.6,29.0927163
4,0.2,8,0.8,3.670802349
13,0.2,8,0.8,4.75254366
22,0.2,8,0.8,4.754499747
31,0.2,8,0.8,4.755746467
40,0.2,8,0.8,4.754967894
4,0.3,8,0.8,4.861685379
13,0.3,8,0.8,6.638703843
22,0.3,8,0.8,6.643487045
31,0.3,8,0.8,6.643811133
40,0.3,8,0.8,6.643102927
4,0.4,8,0.8,4.91353745
13,0.4,8,0.8,7.164399723
22,0.4,8,0.8,7.169261887
31,0.4,8,0.8,7.168580766
40,0.4,8,0.8,7.16889382
4,0.5,8,0.8,5.155045622
13,0.5,8,0.8,7.811431204
22,0.5,8,0.8,7.817174897
31,0.5,8,0.8,7.81676869
40,0.5,8,0.8,7.817456773
4,0.6,8,0.8,5.209000563
13,0.6,8,0.8,8.062762846
22,0.6,8,0.8,8.068055136
31,0.6,8,0.8,8.068249153
40,0.6,8,0.8,8.068600785
4,0.7,8,0.8,5.768346868
13,0.7,8,0.8,8.916015388
22,0.7,8,0.8,8.918909966
31,0.7,8,0.8,8.835486865
40,0.7,8,0.8,8.715479445
4,0.2,20,0.8,9.246258022
13,0.2,20,0.8,13.93111139
22,0.2,20,0.8,14.27041349
31,0.2,20,0.8,14.28089248
40,0.2,20,0.8,10.00807199
4,0.3,20,0.8,9.919779904
13,0.3,20,0.8,17.89033173
22,0.3,20,0.8,18.44417881
31,0.3,20,0.8,18.46078073
40,0.3,20,0.8,18.4628099
4,0.4,20,0.8,9.64691797
13,0.4,20,0.8,20.90667643
22,0.4,20,0.8,21.63481585
31,0.4,20,0.8,21.6559297
40,0.4,20,0.8,21.65891008
4,0.5,20,0.8,8.93372231
13,0.5,20,0.8,22.98236535
22,0.5,20,0.8,23.79846935
31,0.5,20,0.8,23.82160916
40,0.5,20,0.8,23.82492857
4,0.6,20,0.8,8.39957705
13,0.6,20,0.8,24.03441702
22,0.6,20,0.8,24.82311234
31,0.6,20,0.8,24.84505546
40,0.6,20,0.8,24.84828165
4,0.7,20,0.8,8.399837563
13,0.7,20,0.8,24.08912515
22,0.7,20,0.8,24.7335215
31,0.7,20,0.8,24.75165409
40,0.7,20,0.8,24.75406544
4,0.2,32,0.8,14.7788329
13,0.2,32,0.8,21.60752851
22,0.2,32,0.8,23.65178077
31,0.2,32,0.8,23.6871474
40,0.2,32,0.8,23.70195655
4,0.3,32,0.8,14.71434178
13,0.3,32,0.8,26.32918122
22,0.3,32,0.8,29.66648264
31,0.3,32,0.8,29.72202339
40,0.3,32,0.8,29.74743025
4,0.4,32,0.8,13.35215674
13,0.4,32,0.8,30.14074425
22,0.4,32,0.8,34.60492664
31,0.4,32,0.8,34.67819681
40,0.4,32,0.8,34.71134804
4,0.5,32,0.8,11.53254724
13,0.5,32,0.8,32.80930984
22,0.5,32,0.8,37.91553038
31,0.5,32,0.8,37.99772876
40,0.5,32,0.8,38.03399639
4,0.6,32,0.8,53.65781612
13,0.6,32,0.8,35.22004092
22,0.6,32,0.8,40.36676025
31,0.6,32,0.8,40.44704878
40,0.6,32,0.8,40.48297321
4,0.7,32,0.8,44.29603337
13,0.7,32,0.8,36.15475589
22,0.7,32,0.8,40.47343471
31,0.7,32,0.8,40.54182536
40,0.7,32,0.8,40.57095913
4,0.2,8,1,4.077290937
13,0.2,8,1,5.329684251
22,0.2,8,1,5.333120438
31,0.2,8,1,5.332504662
40,0.2,8,1,5.332739866
4,0.3,8,1,5.407513698
13,0.3,8,1,7.569961832
22,0.3,8,1,7.578745457
31,0.3,8,1,7.576480752
40,0.3,8,1,7.577410674
4,0.4,8,1,6.058751201
13,0.4,8,1,8.91736041
22,0.4,8,1,6.783890431
31,0.4,8,1,8.917381217
40,0.4,8,1,8.917970325
4,0.5,8,1,6.50503778
13,0.5,8,1,9.860072752
22,0.5,8,1,9.872730877
31,0.5,8,1,9.868164613
40,0.5,8,1,7.184383958
4,0.6,8,1,6.638262454
13,0.6,8,1,10.16017348
22,0.6,8,1,10.16641471
31,0.6,8,1,10.16637619
40,0.6,8,1,10.16441606
4,0.7,8,1,4.779392445
13,0.7,8,1,7.142560641
22,0.7,8,1,7.173310305
31,0.7,8,1,7.110552699
40,0.7,8,1,7.111106551
4,0.2,20,1,11.44805469
13,0.2,20,1,17.37299155
22,0.2,20,1,17.81375772
31,0.2,20,1,17.8222838
40,0.2,20,1,17.82379941
4,0.3,20,1,12.30737174
13,0.3,20,1,22.3795469
22,0.3,20,1,23.08457098
31,0.3,20,1,23.10567242
40,0.3,20,1,23.10844777
4,0.4,20,1,12.14717076
13,0.4,20,1,26.36678001
22,0.4,20,1,27.29333424
31,0.4,20,1,27.32002535
40,0.4,20,1,27.32385608
4,0.5,20,1,11.4281655
13,0.5,20,1,29.13518612
22,0.5,20,1,30.16848966
31,0.5,20,1,30.19804882
40,0.5,20,1,30.20229113
4,0.6,20,1,10.72329248
13,0.6,20,1,30.35406873
22,0.6,20,1,31.33502291
31,0.6,20,1,31.36275717
40,0.6,20,1,31.3672151
4,0.7,20,1,10.95499893
13,0.7,20,1,30.97733326
22,0.7,20,1,31.77915607
31,0.7,20,1,31.80177826
40,0.7,20,1,31.80489018
4,0.2,32,1,17.97131538
13,0.2,32,1,26.54018647
22,0.2,32,1,29.12440506
31,0.2,32,1,56.40386085
40,0.2,32,1,29.18804239
4,0.3,32,1,18.6218166
13,0.3,32,1,33.38888469
22,0.3,32,1,37.661561
31,0.3,32,1,37.73312292
40,0.3,32,1,37.76544945
4,0.4,32,1,17.19935864
13,0.4,32,1,38.44565721
22,0.4,32,1,44.15320994
31,0.4,32,1,44.24707219
40,0.4,32,1,44.28971987
4,0.5,32,1,15.00557047
13,0.5,32,1,42.00518517
22,0.5,32,1,48.50734972
31,0.5,32,1,48.61191142
40,0.5,32,1,48.659119
4,0.6,32,1,71.66763328
13,0.6,32,1,44.75379769
22,0.6,32,1,51.21834976
31,0.6,32,1,51.31899765
40,0.6,32,1,51.29271408
4,0.7,32,1,13.24304447
13,0.7,32,1,46.20234307
22,0.7,32,1,51.60005342
31,0.7,32,1,51.6806585
40,0.7,32,1,51.84838506
